deal_id,lead_id,deal_created_date,stage,amount,is_closed,is_closed_won,close_date
D00389,L006706,2026-05-03,Discovery,27000,false,false,
D00085,L001350,2025-04-23,Closed Won,33750,true,true,2025-05-12
D00453,L007727,2026-07-02,Discovery,41750,false,false,
D00476,L008120,2026-07-03,Proposal,50000,false,false,
D00274,L004348,2025-11-20,Closed Won,59500,true,true,2026-01-15
D00340,L005634,2026-01-17,Closed Lost,19750,true,false,2026-03-22
D00262,L004152,2025-10-09,Closed Lost,14500,true,false,2025-11-18
D00442,L007555,2026-05-31,Discovery,41500,false,false,
D00346,L005775,2026-02-15,Closed Lost,42750,true,false,2026-03-26
D00080,L001257,2025-04-26,Closed Lost,30000,true,false,2025-07-04
D00198,L002871,2025-08-06,Closed Lost,24250,true,false,2025-10-12
D00065,L001108,2025-04-10,Closed Lost,13250,true,false,2025-06-03
D00090,L001371,2025-05-02,Closed Lost,19000,true,false,2025-06-04
D00372,L006409,2026-04-04,Evaluation,22000,false,false,
D00232,L003566,2025-10-14,Closed Lost,35000,true,false,2025-11-30
D00235,L003642,2025-09-19,Closed Lost,33000,true,false,2026-01-11
D00016,L000361,2025-01-05,Closed Lost,27000,true,false,2025-03-12
D00075,L001205,2025-03-12,Closed Lost,71750,true,false,2025-06-15
D00119,L001778,2025-05-08,Closed Won,39500,true,true,2025-06-14
D00364,L006292,2026-04-19,Closed Lost,54000,true,false,2026-06-28
D00411,L007122,2026-04-14,Closed Lost,63250,true,false,2026-06-29
D00408,L007089,2026-04-19,Proposal,79000,false,false,
D00300,L004830,2025-12-23,Closed Lost,20750,true,false,2026-02-21
D00452,L007704,2026-06-13,Discovery,38000,false,false,
D00508,,2025-07-16,Closed Lost,17000,true,false,2025-09-05
D00107,L001646,2025-04-14,Closed Won,47750,true,true,2025-06-30
D00131,L001905,2025-05-17,Closed Lost,13000,true,false,2025-09-14
D00254,L003924,2025-11-15,Closed Lost,66000,true,false,2026-01-14
D00283,L004475,2025-12-06,Closed Lost,46500,true,false,2026-01-31
D00394,L006774,2026-04-23,Closed Won,21250,true,true,2026-06-03
D00303,L004844,2025-12-18,Closed Lost,61250,true,false,2026-02-17
D00405,L007063,2026-04-20,Closed Lost,17250,true,false,2026-05-29
D00334,L005559,2026-02-02,Closed Lost,10750,true,false,2026-05-22
D00396,L006794,2026-04-19,Closed Lost,66500,true,false,2026-06-20
D00003,L000095,2025-01-24,Closed Lost,25250,true,false,2025-04-01
D00089,L001370,2025-04-25,Closed Lost,66750,true,false,2025-05-21
D00462,L007945,2026-06-15,Discovery,9500,false,false,
D00084,L001347,2025-04-23,Closed Won,70000,true,true,2025-05-23
D00421,L007251,2026-06-10,Evaluation,61500,false,false,
D00428,L007282,2026-05-31,Negotiation,63000,false,false,
D00218,L003327,2025-08-19,Closed Won,26750,true,true,2026-01-14
D00360,L006159,2026-02-08,Closed Lost,49250,true,false,2026-04-30
D00276,L004367,2025-11-09,Closed Lost,38250,true,false,2025-12-30
D00205,L003011,2025-08-30,Closed Lost,55250,true,false,2025-10-29
D00252,L003918,2025-10-22,Closed Lost,46250,true,false,2025-12-19
D00018,L000404,2025-02-05,Closed Lost,19750,true,false,2025-03-05
D00042,L000711,2025-02-15,Closed Lost,12500,true,false,2025-05-20
D00397,L006800,2026-04-13,Closed Lost,21750,true,false,2026-06-24
D00250,L003902,2025-10-30,Closed Won,67750,true,true,2025-12-08
D00050,L000792,2025-02-26,Closed Won,50500,true,true,2025-05-27
D00041,L000707,2025-02-22,Closed Won,31250,true,true,2025-05-20
D00413,L007128,2026-04-13,Discovery,65250,false,false,
D00081,L001328,2025-04-28,Closed Won,60500,true,true,2025-06-03
D00224,L003351,2025-08-16,Closed Lost,17250,true,false,2025-10-11
D00464,L008011,2026-06-19,Evaluation,20250,false,false,
D00069,L001149,2025-03-31,Closed Lost,30250,true,false,2025-05-21
D00140,L001990,2025-05-28,Closed Lost,22000,true,false,2025-07-17
D00293,L004705,2025-11-24,Closed Lost,24000,true,false,2025-12-23
D00223,L003348,2025-09-15,Closed Lost,66250,true,false,2025-10-17
D00118,L001774,2025-05-27,Closed Won,16250,true,true,2025-07-20
D00477,L008129,2026-06-20,Proposal,64000,false,false,
D00088,L001368,2025-05-08,Closed Won,59500,true,true,2025-06-20
D00186,L002759,2025-07-16,Closed Lost,21000,true,false,2025-08-31
D00194,L002836,2025-08-08,Closed Lost,24750,true,false,2025-11-19
D00112,L001757,2025-05-25,Closed Lost,23500,true,false,2025-07-14
D00481,,2026-04-06,Proposal,69500,false,false,
D00381,L006600,2026-03-23,Closed Lost,32750,true,false,2026-05-21
D00174,L002453,2025-07-02,Closed Lost,74000,true,false,2025-12-11
D00221,L003340,2025-08-21,Closed Lost,13250,true,false,2025-12-14
D00143,L002002,2025-05-26,Closed Lost,72000,true,false,2025-07-26
D00290,L004691,2025-12-06,Closed Lost,45750,true,false,2026-02-24
D00480,,2026-05-03,Closed Lost,37500,true,false,2026-06-16
D00158,L002176,2025-07-01,Closed Lost,42250,true,false,2025-07-28
D00110,L001669,2025-04-23,Closed Lost,67000,true,false,2025-07-24
D00356,L005939,2026-02-08,Closed Lost,16250,true,false,2026-05-22
D00304,L004896,2025-12-27,Closed Lost,41750,true,false,2026-03-05
D00449,L007631,2026-05-13,Evaluation,45500,false,false,
D00438,L007522,2026-05-07,Closed Lost,26000,true,false,2026-06-09
D00179,L002576,2025-08-02,Closed Lost,46000,true,false,2025-10-09
D00202,L002932,2025-08-22,Closed Lost,17750,true,false,2025-11-20
D00241,L003719,2025-10-14,Closed Lost,90000,true,false,2026-02-24
D00426,L007275,2026-06-04,Evaluation,30750,false,false,
D00326,L005379,2026-01-30,Closed Won,43500,true,true,2026-03-07
D00286,L004606,2025-11-18,Closed Lost,59250,true,false,2025-12-27
D00358,L006152,2026-03-05,Closed Won,59250,true,true,2026-05-13
D00228,L003468,2025-10-15,Closed Lost,36000,true,false,2025-11-11
D00064,L001087,2025-04-09,Closed Lost,30500,true,false,2025-06-23
D00503,,2025-08-19,Closed Lost,23000,true,false,2025-11-12
D00034,L000671,2025-03-08,Closed Lost,14250,true,false,2025-05-18
D00038,L000677,2025-03-14,Closed Lost,44500,true,false,2025-04-30
D00047,L000784,2025-02-24,Closed Won,38500,true,true,2025-04-26
D00450,L007647,2026-06-03,Proposal,54500,false,false,
D00468,L008081,2026-06-23,Negotiation,90500,false,false,
D00189,L002786,2025-07-24,Closed Won,33750,true,true,2025-08-23
D00164,L002318,2025-06-08,Closed Lost,38500,true,false,2025-08-19
D00115,L001768,2025-05-21,Closed Lost,66750,true,false,2025-06-23
D00478,L008134,2026-07-05,Evaluation,50000,false,false,
D00367,L006324,2026-04-14,Closed Lost,22750,true,false,2026-06-26
D00181,L002591,2025-08-03,Closed Lost,50750,true,false,2025-09-30
D00175,L002455,2025-06-13,Closed Won,77250,true,true,2025-07-31
D00506,,2025-04-22,Closed Won,25500,true,true,2025-08-07
D00345,L005747,2026-02-20,Closed Lost,6000,true,false,2026-06-04
D00059,L000976,2025-03-25,Closed Lost,10750,true,false,2025-07-09
D00073,L001190,2025-03-27,Closed Won,20000,true,true,2025-08-03
D00314,L005240,2026-01-03,Closed Lost,38750,true,false,2026-01-29
D00213,L003273,2025-08-20,Closed Lost,18500,true,false,2025-12-01
D00402,L007026,2026-04-19,Evaluation,32500,false,false,
D00197,L002867,2025-07-23,Closed Lost,20750,true,false,2025-10-11
D00058,L000938,2025-04-02,Closed Won,38750,true,true,2025-05-23
D00226,L003452,2025-09-17,Closed Won,60250,true,true,2025-10-13
D00033,L000670,2025-03-05,Closed Won,30500,true,true,2025-04-15
D00348,L005795,2026-03-17,Closed Won,18250,true,true,2026-05-10
D00145,L002019,2025-05-16,Closed Lost,40250,true,false,2025-08-08
D00026,L000505,2025-02-25,Closed Won,69000,true,true,2025-05-06
D00429,L007296,2026-05-31,Evaluation,37250,false,false,
D00390,L006717,2026-05-02,Closed Lost,19750,true,false,2026-06-22
D00362,L006189,2026-02-28,Closed Lost,28750,true,false,2026-05-21
D00162,L002282,2025-06-27,Closed Lost,21000,true,false,2025-10-18
D00183,L002606,2025-07-14,Closed Won,61000,true,true,2025-09-08
D00325,L005375,2026-01-21,Closed Lost,19500,true,false,2026-03-01
D00510,,2025-01-31,Closed Lost,20250,true,false,2025-04-21
D00418,L007238,2026-06-08,Evaluation,47250,false,false,
D00207,L003040,2025-08-22,Closed Lost,30750,true,false,2025-11-04
D00191,L002814,2025-07-12,Closed Lost,11500,true,false,2025-10-18
D00061,L001009,2025-03-24,Closed Lost,32250,true,false,2025-06-21
D00171,L002426,2025-06-28,Closed Lost,14000,true,false,2025-09-16
D00380,L006594,2026-03-13,Closed Lost,39250,true,false,2026-06-07
D00051,L000793,2025-02-19,Closed Won,24750,true,true,2025-05-22
D00318,L005309,2026-01-08,Closed Lost,26750,true,false,2026-02-28
D00099,L001568,2025-04-16,Closed Lost,24750,true,false,2025-07-04
D00492,,2026-04-02,Closed Lost,47250,true,false,2026-06-20
D00291,L004700,2025-11-21,Closed Won,24250,true,true,2026-01-15
D00507,,2025-05-31,Closed Lost,49000,true,false,2025-07-23
D00430,L007298,2026-06-06,Proposal,33250,false,false,
D00239,L003711,2025-09-23,Closed Won,49500,true,true,2026-01-04
D00129,L001856,2025-06-11,Closed Won,38000,true,true,2025-09-15
D00393,L006770,2026-05-17,Discovery,48750,false,false,
D00005,L000100,2025-02-11,Closed Won,24750,true,true,2025-04-01
D00130,L001901,2025-06-04,Closed Lost,13500,true,false,2025-07-30
D00504,,2026-03-01,Closed Won,37000,true,true,2026-06-18
D00040,L000705,2025-02-21,Closed Lost,36500,true,false,2025-06-09
D00500,,2025-08-12,Closed Lost,59750,true,false,2025-09-18
D00435,L007460,2026-05-31,Negotiation,43500,false,false,
D00144,L002017,2025-06-11,Closed Lost,72000,true,false,2025-09-28
D00483,,2026-01-13,Closed Lost,49000,true,false,2026-05-18
D00020,L000425,2025-03-07,Closed Lost,32000,true,false,2025-06-03
D00412,L007125,2026-04-15,Closed Lost,24250,true,false,2026-06-07
D00011,L000190,2025-02-09,Closed Lost,22500,true,false,2025-05-04
D00409,L007099,2026-05-13,Discovery,56500,false,false,
D00379,L006587,2026-04-02,Closed Lost,37500,true,false,2026-05-23
D00220,L003339,2025-09-02,Closed Won,24750,true,true,2026-02-10
D00443,L007561,2026-05-27,Closed Won,64500,true,true,2026-06-26
D00278,L004378,2025-12-13,Closed Lost,52750,true,false,2026-01-13
D00203,L002969,2025-09-15,Closed Lost,21000,true,false,2025-11-25
D00021,L000427,2025-03-08,Closed Won,9250,true,true,2025-07-19
D00456,L007776,2026-06-21,Discovery,64000,false,false,
D00327,L005382,2026-02-06,Closed Lost,23750,true,false,2026-03-29
D00212,L003262,2025-08-12,Closed Lost,42000,true,false,2025-09-23
D00045,L000756,2025-02-23,Closed Lost,27250,true,false,2025-07-25
D00027,L000519,2025-02-14,Closed Won,26000,true,true,2025-04-29
D00012,L000202,2025-01-19,Closed Lost,45750,true,false,2025-04-23
D00466,L008066,2026-07-05,Negotiation,51250,false,false,
D00457,L007796,2026-06-18,Evaluation,19750,false,false,
D00093,L001400,2025-04-16,Closed Lost,20000,true,false,2025-06-20
D00255,L003931,2025-11-02,Closed Lost,24250,true,false,2026-01-11
D00068,L001143,2025-03-12,Closed Lost,66250,true,false,2025-05-25
D00382,L006607,2026-04-06,Closed Lost,57500,true,false,2026-06-16
D00132,L001907,2025-05-14,Closed Lost,20250,true,false,2025-07-09
D00032,L000647,2025-02-27,Closed Lost,13500,true,false,2025-06-17
D00295,L004721,2025-12-21,Closed Won,63500,true,true,2026-03-17
D00193,L002824,2025-07-26,Closed Lost,38500,true,false,2025-09-19
D00057,L000921,2025-03-22,Closed Lost,69000,true,false,2025-05-01
D00395,L006780,2026-04-22,Closed Lost,52500,true,false,2026-05-13
D00023,L000486,2025-03-04,Closed Won,33250,true,true,2025-04-29
D00329,L005384,2026-02-08,Closed Won,71000,true,true,2026-04-14
D00384,L006658,2026-04-11,Closed Lost,11250,true,false,2026-06-11
D00006,L000107,2025-02-05,Closed Won,53250,true,true,2025-03-03
D00030,L000584,2025-03-03,Closed Lost,40000,true,false,2025-06-20
D00445,L007606,2026-05-30,Evaluation,13250,false,false,
D00086,L001351,2025-04-27,Closed Lost,11000,true,false,2025-07-02
D00375,L006476,2026-04-09,Proposal,29750,false,false,
D00436,L007464,2026-06-05,Discovery,30500,false,false,
D00355,L005922,2026-03-02,Closed Lost,19750,true,false,2026-05-31
D00461,L007920,2026-06-26,Evaluation,46500,false,false,
D00153,L002153,2025-06-28,Closed Lost,16000,true,false,2025-09-07
D00229,L003474,2025-10-18,Closed Won,46750,true,true,2025-12-02
D00368,L006330,2026-03-19,Closed Won,60750,true,true,2026-05-12
D00319,L005321,2026-02-18,Closed Lost,9500,true,false,2026-05-19
D00322,L005363,2026-01-07,Closed Lost,20500,true,false,2026-02-27
D00258,L004087,2025-11-09,Closed Lost,21750,true,false,2025-12-18
D00243,L003728,2025-09-18,Closed Lost,38750,true,false,2026-01-14
D00177,L002479,2025-07-02,Closed Lost,31000,true,false,2025-07-27
D00484,,2025-04-26,Closed Lost,23750,true,false,2025-07-06
D00486,,2026-04-04,Proposal,46000,false,false,
D00121,L001783,2025-05-29,Closed Lost,65500,true,false,2025-08-02
D00142,L002000,2025-06-04,Closed Lost,26250,true,false,2025-08-18
D00391,L006718,2026-04-16,Proposal,24750,false,false,
D00173,L002448,2025-07-15,Closed Lost,68750,true,false,2025-10-31
D00265,L004170,2025-11-11,Closed Lost,23750,true,false,2026-01-28
D00161,L002253,2025-07-10,Closed Won,28750,true,true,2025-10-11
D00125,L001818,2025-05-22,Closed Lost,30000,true,false,2025-08-17
D00149,L002037,2025-06-07,Closed Won,67500,true,true,2025-07-07
D00127,L001848,2025-05-21,Closed Lost,37500,true,false,2025-07-03
D00100,L001576,2025-05-01,Closed Lost,25750,true,false,2025-06-05
D00024,L000487,2025-02-24,Closed Lost,52500,true,false,2025-04-10
D00180,L002579,2025-08-10,Closed Lost,38250,true,false,2025-10-12
D00160,L002193,2025-06-23,Closed Lost,28250,true,false,2025-07-24
D00512,,2025-07-01,Closed Lost,68000,true,false,2025-08-12
D00036,L000675,2025-02-15,Closed Lost,36000,true,false,2025-04-13
D00172,L002443,2025-06-26,Closed Lost,61250,true,false,2025-11-04
D00323,L005367,2026-01-23,Closed Lost,46500,true,false,2026-04-02
D00331,L005457,2026-02-03,Closed Lost,12000,true,false,2026-04-03
D00333,L005522,2026-02-10,Closed Lost,10750,true,false,2026-05-17
D00139,L001981,2025-06-08,Closed Lost,65500,true,false,2025-07-28
D00187,L002771,2025-07-21,Closed Lost,37500,true,false,2025-11-01
D00446,L007607,2026-06-05,Discovery,72500,false,false,
D00071,L001173,2025-03-17,Closed Lost,36750,true,false,2025-04-27
D00307,L005142,2025-12-08,Closed Lost,30750,true,false,2026-02-20
D00270,L004238,2025-11-08,Closed Lost,22500,true,false,2026-01-02
D00361,L006167,2026-02-20,Closed Lost,59250,true,false,2026-04-13
D00238,L003702,2025-09-19,Closed Lost,42750,true,false,2025-12-16
D00135,L001944,2025-05-14,Closed Won,24250,true,true,2025-08-18
D00420,L007250,2026-05-09,Discovery,42250,false,false,
D00028,L000526,2025-03-01,Closed Lost,14500,true,false,2025-04-30
D00251,L003911,2025-11-01,Closed Won,50000,true,true,2026-01-10
D00463,L007961,2026-06-10,Discovery,23750,false,false,
D00422,L007261,2026-05-27,Proposal,39000,false,false,
D00495,,2025-11-14,Closed Lost,29250,true,false,2026-02-23
D00458,L007815,2026-07-03,Proposal,20250,false,false,
D00054,L000896,2025-03-14,Closed Lost,59750,true,false,2025-05-02
D00328,L005383,2026-02-15,Closed Lost,10500,true,false,2026-04-07
D00485,,2025-03-15,Closed Won,67000,true,true,2025-06-24
D00289,L004689,2025-11-27,Closed Lost,55250,true,false,2026-03-31
D00298,L004821,2025-12-22,Closed Lost,23750,true,false,2026-02-05
D00230,L003475,2025-09-16,Closed Won,46500,true,true,2025-11-10
D00308,L005166,2025-12-15,Closed Lost,49000,true,false,2026-03-30
D00374,L006448,2026-04-02,Proposal,32250,false,false,
D00497,,2025-01-31,Closed Won,67500,true,true,2025-03-30
D00098,L001563,2025-04-14,Closed Lost,64500,true,false,2025-07-03
D00077,L001236,2025-03-10,Closed Won,28750,true,true,2025-05-03
D00017,L000364,2025-01-15,Closed Lost,40750,true,false,2025-06-25
D00310,L005190,2025-12-16,Closed Won,59250,true,true,2026-02-03
D00165,L002326,2025-07-08,Closed Lost,38250,true,false,2025-10-26
D00236,L003665,2025-10-11,Closed Lost,17750,true,false,2025-12-07
D00053,L000798,2025-03-18,Closed Lost,25000,true,false,2025-06-04
D00282,L004445,2025-11-24,Closed Lost,38250,true,false,2026-01-12
D00404,L007055,2026-04-19,Discovery,56500,false,false,
D00369,L006345,2026-03-12,Closed Won,32750,true,true,2026-05-18
D00482,,2025-07-20,Closed Won,46250,true,true,2025-10-21
D00240,L003718,2025-10-06,Closed Lost,39500,true,false,2025-12-19
D00272,L004253,2025-11-16,Closed Won,17250,true,true,2026-01-30
D00178,L002523,2025-07-09,Closed Lost,31250,true,false,2025-10-11
D00288,L004685,2025-11-29,Closed Lost,46500,true,false,2026-02-02
D00423,L007262,2026-05-22,Closed Won,42750,true,true,2026-06-29
D00353,L005864,2026-02-19,Closed Lost,37250,true,false,2026-04-05
D00451,L007681,2026-06-18,Negotiation,31250,false,false,
D00120,L001780,2025-05-24,Closed Lost,63500,true,false,2025-08-06
D00487,,2025-07-28,Closed Lost,50250,true,false,2025-09-28
D00159,L002191,2025-06-20,Closed Lost,35500,true,false,2025-08-28
D00244,L003734,2025-09-25,Closed Lost,20250,true,false,2026-02-10
D00332,L005470,2026-02-06,Closed Lost,14250,true,false,2026-06-06
D00273,L004334,2025-11-29,Closed Lost,18500,true,false,2026-01-16
D00022,L000485,2025-03-17,Closed Won,64000,true,true,2025-05-25
D00427,L007281,2026-05-25,Evaluation,52250,false,false,
D00116,L001772,2025-06-12,Closed Lost,59000,true,false,2025-08-05
D00146,L002020,2025-05-26,Closed Lost,72250,true,false,2025-09-18
D00031,L000608,2025-02-22,Closed Lost,40500,true,false,2025-04-17
D00316,L005253,2026-01-09,Closed Won,39250,true,true,2026-04-14
D00460,L007862,2026-06-24,Negotiation,16000,false,false,
D00185,L002696,2025-08-14,Closed Lost,20000,true,false,2025-11-09
D00014,L000325,2025-02-04,Closed Lost,28500,true,false,2025-04-22
D00104,L001620,2025-04-29,Closed Lost,42500,true,false,2025-07-02
D00155,L002157,2025-07-04,Closed Lost,41250,true,false,2025-08-12
D00108,L001657,2025-04-10,Closed Lost,19250,true,false,2025-06-14
D00320,L005342,2026-02-03,Closed Lost,11750,true,false,2026-04-01
D00214,L003284,2025-09-19,Closed Won,38750,true,true,2025-12-08
D00249,L003894,2025-10-24,Closed Won,35250,true,true,2025-11-27
D00406,L007066,2026-04-28,Closed Lost,45500,true,false,2026-05-28
D00376,L006488,2026-03-22,Closed Lost,6750,true,false,2026-05-21
D00259,L004126,2025-10-29,Closed Won,28750,true,true,2026-02-14
D00056,L000915,2025-03-26,Closed Lost,18500,true,false,2025-04-25
D00097,L001529,2025-04-26,Closed Lost,37750,true,false,2025-07-24
D00479,,2025-12-11,Closed Lost,62500,true,false,2026-02-04
D00217,L003326,2025-08-30,Closed Lost,35250,true,false,2025-12-20
D00195,L002843,2025-07-30,Closed Won,43750,true,true,2025-10-07
D00102,L001600,2025-04-29,Closed Lost,20250,true,false,2025-06-07
D00499,,2026-01-31,Closed Lost,69000,true,false,2026-06-01
D00067,L001133,2025-04-01,Closed Lost,39000,true,false,2025-05-01
D00281,L004425,2025-11-20,Closed Lost,44500,true,false,2026-03-12
D00297,L004820,2025-12-12,Closed Lost,46000,true,false,2026-01-22
D00416,L007234,2026-06-04,Discovery,39750,false,false,
D00365,L006301,2026-04-01,Closed Won,12000,true,true,2026-04-19
D00025,L000498,2025-03-04,Closed Lost,66500,true,false,2025-05-18
D00037,L000676,2025-02-10,Closed Lost,21500,true,false,2025-05-20
D00163,L002289,2025-07-09,Closed Lost,40000,true,false,2025-08-15
D00004,L000099,2025-01-15,Closed Lost,57500,true,false,2025-03-10
D00114,L001767,2025-05-12,Closed Lost,38250,true,false,2025-06-05
D00491,,2025-06-20,Closed Lost,11500,true,false,2025-08-16
D00305,L004978,2025-12-26,Closed Lost,29500,true,false,2026-04-04
D00424,L007264,2026-05-11,Proposal,51750,false,false,
D00257,L003971,2025-10-14,Closed Lost,9500,true,false,2026-01-07
D00474,L008115,2026-06-24,Discovery,36500,false,false,
D00337,L005601,2026-01-19,Closed Won,62750,true,true,2026-04-23
D00200,L002882,2025-07-25,Closed Lost,69750,true,false,2025-10-15
D00029,L000532,2025-02-26,Closed Won,41250,true,true,2025-04-17
D00277,L004368,2025-11-22,Closed Lost,59000,true,false,2025-12-12
D00414,L007129,2026-04-25,Closed Lost,73750,true,false,2026-05-28
D00455,L007775,2026-06-24,Negotiation,62750,false,false,
D00092,L001376,2025-05-11,Closed Won,65750,true,true,2025-07-13
D00469,L008084,2026-06-24,Evaluation,15250,false,false,
D00156,L002163,2025-06-21,Closed Lost,50000,true,false,2025-07-29
D00501,,2025-07-31,Closed Lost,41250,true,false,2025-12-07
D00184,L002667,2025-07-31,Closed Lost,46000,true,false,2025-11-10
